Geneid	Uniprot_annotation	Interproscan_annotation	GO_term	KEGG_annotation
LDECv5g00042	Peptidyl-prolyl cis-trans isomerase-like 3; Rattus norvegicus	Cyclophilin-like domain superfamily|Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain profile.|Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain|Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD|Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain|Cyclophilin_PPIL3_like|Cyclophilin peptidyl-prolyl cis-trans isomerase signature|Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain|Cyclophilin-like|Cyclophilin-like domain superfamily|Peptidylpro_ismrse|Cyclophilin-type peptidyl-prolyl cis-trans isomerase|Cyclophilin-type peptidyl-prolyl cis-trans isomerase signature.|Cyclophilin-type peptidyl-prolyl cis-trans isomerase, conserved site|Peptidyl-prolyl cis-trans isomerase	GO:0000413, GO:0003755, GO:0006457, GO:0071013, GO:0008150, GO:0003824, GO:0140096, GO:0016859, GO:0016853, GO:0043412, GO:0003674, GO:0036211, GO:0005681, GO:0008380, GO:0043170, GO:0009987, GO:0018193, GO:0005488, GO:0043169, GO:0044238, GO:0019538, GO:0006397	K12734
LDECv5g00043	uS5 assembly chaperone PDCD2L; Mus musculus	Programmed cell death protein 2, C-terminal putative domain|Programmed cell death protein 2, C-terminal	GO:0005737, GO:0006915, GO:0008150, GO:0043169, GO:0007049, GO:0009987, GO:0046872, GO:0005575, GO:0043167, GO:0005488	K14801
LDECv5g00044	Solute carrier family 25 member 32; Macaca fascicularis	Mitochondrial carrier protein signature|Mitochondrial carrier protein|Folate transporter 1, chloroplastic|Mitochondrial carrier protein|Mitochondrial carrier protein, transmembrane region|folate transporter 1, chloroplastic isoform X1|Mitochondrial carrier domain|Mitochondrial carrier protein domain superfamily|Solute carrier (Solcar) repeat profile.|Mitochondrial carrier protein, transmembrane region|Mitochondrial carrier|Mitochondrial carrier protein domain superfamily	GO:0055085, GO:0006862, GO:0008509, GO:0008150, GO:1901505, GO:0008324, GO:0005575, GO:0015075, GO:0016020, GO:0043227, GO:0005743, GO:0072349, GO:0003674, GO:0015932, GO:0015215, GO:0019866, GO:0031090, GO:0015605, GO:0022857, GO:0005215, GO:0090482, GO:0031966, GO:0015230, GO:0043231, GO:0043226, GO:0043229, GO:0008517, GO:0051234, GO:0000295, GO:0015748, GO:0005346, GO:0015711, GO:0006810, GO:0008152, GO:0006811, GO:0072337, GO:0051179, GO:0005347	K15115
LDECv5g00045	Actin-related protein 10; Mus musculus	ASKHA_NBD_Arp10|Actin|Actin family|Actin; Chain A, domain 4|Actin-like ATPase domain|ATPase, nucleotide binding domain|actin_3|Actin family	GO:0008150, GO:0016740, GO:0005575, GO:0005869, GO:0051179, GO:0043226, GO:0008152, GO:0006810, GO:0051234, GO:0043229, GO:0044238, GO:0043227	K16576
LDECv5g00046	Glutamate--cysteine ligase catalytic subunit; Homo sapiens	Glutamate--cysteine ligase catalytic subunit|Glutamate-cysteine ligase|Glutamate-cysteine ligase catalytic subunit|Glutamine synthetase/guanido kinase|Glutamine synthetase/guanido kinase, catalytic domain	GO:0004357, GO:0006750, GO:0017109, GO:0003824, GO:0005488, GO:0065007, GO:0008150, GO:0009987, GO:0005575, GO:0043167, GO:0003674, GO:0050789, GO:0050896, GO:0006950, GO:0050794, GO:0042221, GO:0036094, GO:0009605, GO:0010468, GO:0043168, GO:0019222, GO:0043229, GO:0005737, GO:0043226, GO:0043169, GO:0046872, GO:0051716, GO:0010038	K11204
LDECv5g00047	Protein prenyltransferase alpha subunit repeat-containing protein 1-B; Xenopus laevis	Protein prenyltransferases alpha subunit repeat profile.|Protein prenyltransferase, alpha subunit|Protein prenylyltransferase|Protein prenyltransferase alpha subunit repeat|Protein prenyltransferase, alpha subunit	GO:0005737, GO:0018342, GO:0008318, GO:0005575, GO:0008150, GO:0043226, GO:0044238, GO:0009987, GO:0043227, GO:0032991	K14137
LDECv5g00048	Regucalcin; Mus musculus	Regucalcin signature|Regucalcin|Six-bladed beta-propeller, TolB-like|Senescence marker protein-30 (SMP30) family signature|Senescence marker protein-30 (SMP-30)|SMP-30/Gluconolactonase/LRE-like region|Regucalcin homologue|Calcium-dependent phosphotriesterase	GO:0005509, GO:0030234, GO:0004341, GO:0019853, GO:0005575, GO:0016020, GO:0050896, GO:0098588	NA
LDECv5g00049	Regucalcin; Danio rerio	SMP-30/Gluconolactonase/LRE-like region|Regucalcin signature|Regucalcin|Calcium-dependent phosphotriesterase|Regucalcin homologue|Six-bladed beta-propeller, TolB-like|Senescence marker protein-30 (SMP30) family signature|Senescence marker protein-30 (SMP-30)	GO:0005509, GO:0030234, GO:0004341, GO:0019853, GO:0003824, GO:0016787, GO:0003674, GO:0005488, GO:0008152, GO:0043167, GO:0046872, GO:0043169	NA
LDECv5g00050	Neuroendocrine convertase 1; Rattus norvegicus	P/Homo B domain profile.|P domain|Serine proteases, subtilase family, serine active site.|Peptidase S8, subtilisin, Ser-active site|Subtilase family|Peptidase S8/S53 domain|Serine proteases, subtilase family, aspartic acid active site.|Peptidase S8, subtilisin, Asp-active site|Furin 2, isoform B|Proprotein convertase subtilisin/kexin type 5|Serine proteases, subtilase domain profile.|Peptidase S8 pro-domain|Peptidase S8, pro-domain|Subtilisin-like|Peptidase S8/S53 domain superfamily|Galactose-binding domain-like|Galactose-binding-like domain superfamily|Peptidase S8, pro-domain superfamily|Subtilisin serine protease family (S8) signature|Peptidase S8, subtilisin-related|Peptidases_S8_Protein_convertases_Kexins_Furin...|Kexin/furin catalytic domain|Serine proteases, subtilase family, histidine active site.|Peptidase S8, subtilisin, His-active site|Protease propeptides/inhibitors|Proprotein convertase P-domain|P domain|Peptidase S8/S53 domain|Peptidase S8/S53 domain superfamily	GO:0004252, GO:0006508, GO:0016020, GO:0016485, GO:0016486, GO:0043005, GO:0008236, GO:0098791, GO:0005488, GO:0065007, GO:0008150, GO:0003824, GO:0140096, GO:0009987, GO:0005575, GO:0004175, GO:0016787, GO:0016825, GO:0043227, GO:0008152, GO:0003674, GO:0043226, GO:0031984, GO:0008233, GO:0050789, GO:0017171, GO:0005802, GO:0043229, GO:0043170, GO:0044238, GO:0043231, GO:0051240	K01359
LDECv5g00051	Probable tRNA methyltransferase 9B; Mus musculus	Vaccinia Virus protein VP39|S-adenosyl-L-methionine-dependent methyltransferase superfamily	GO:0000049, GO:0002098, GO:0005634, GO:0005737, GO:0030488, GO:0106335, GO:0005575, GO:0065007, GO:0050789, GO:0050794	NA
LDECv5g00052	Large ribosomal subunit protein uL10; Ceratitis capitata	Large ribosomal subunit protein uL10-like, insertion domain superfamily|60s Acidic ribosomal protein	GO:0000027, GO:0002181, GO:0003735, GO:0022625, GO:0070180, GO:0003674, GO:0033643	K02941
LDECv5g00053	NA	NA	GO:0008150, GO:0005575, GO:0050789, GO:0048856, GO:0032501, GO:0048518	NA
LDECv5g00054	Large ribosomal subunit protein bL33m; Drosophila melanogaster	Zn-binding ribosomal proteins|Zinc-binding ribosomal protein|39S ribosomal protein L33, mitochondrial|Ribosomal protein L33|Large ribosomal subunit protein bL33 superfamily	GO:0006412, GO:0005739, GO:0009058, GO:0009987, GO:0005575, GO:1901363, GO:0009059, GO:0043170, GO:0008152, GO:0098798, GO:0003674, GO:0003676, GO:0006518, GO:0044238, GO:0019538, GO:0032991, GO:0044391, GO:0003735, GO:0005198, GO:0008150, GO:0015934, GO:0000315, GO:0043043, GO:0016070, GO:0005762	K02913
LDECv5g00055	Protein AF-9; Mus musculus	YEATS domain profile.|YEATS domain|YEATS_AF-9_like|ANC1 homology domain (AHD)|AF-9, ANC1 homology domain|YEATS family|YEATS domain|YEATS domain|YEATS superfamily	GO:0003682, GO:0008023, GO:0045893, GO:0008150, GO:0005575	NA
LDECv5g00056	Phenylalanine--tRNA ligase alpha subunit; Drosophila melanogaster	Class II aaRS and biotin synthetases|Class II Aminoacyl-tRNA synthetase/Biotinyl protein ligase (BPL) and lipoyl protein ligase (LPL)|PheRS_alpha_core|PheRS DNA binding domain 1|PheRS, DNA binding domain 1|phenylalanine--tRNA ligase subunit alpha, spirochete/archaeal type|Phenylalanine--tRNA ligase alpha subunit|phenylalanine--tRNA ligase subunit alpha|Phenylalanyl-tRNA synthetase, class IIc, alpha subunit|tRNA synthetases class II core domain (F)|Phenylalanyl-tRNA synthetase|Aminoacyl-transfer RNA synthetases class-II family profile.|Aminoacyl-tRNA synthetase, class II|Bira Bifunctional Protein; Domain 2|Class II Aminoacyl-tRNA synthetase/Biotinyl protein ligase (BPL) and lipoyl protein ligase (LPL)|phenylalanine--tRNA ligase alpha subunit|PheRS DNA binding domain 2|PheRS DNA binding domain 3|PheRS, DNA binding domain 3	GO:0004826, GO:0005737, GO:0005829, GO:0006432, GO:0009328, GO:0000166, GO:0005524, GO:0000049, GO:0004812, GO:0043039, GO:0003723, GO:0016070, GO:0030554, GO:0032559, GO:0043038, GO:0043168, GO:0005488, GO:0008150, GO:0097367, GO:0019752, GO:0003824, GO:0140098, GO:0140101, GO:0006520, GO:0009987, GO:0005575, GO:1901363, GO:0043167, GO:0016874, GO:0016875, GO:0043170, GO:0008152, GO:0003674, GO:0003676, GO:0090304, GO:0006139, GO:1901265, GO:0006082, GO:0043436, GO:0044238, GO:0032991, GO:0017076, GO:0035639, GO:0032555, GO:0032553, GO:0036094, GO:0044281, GO:0006418, GO:0006399, GO:1902494, GO:0016788	K01889
LDECv5g00057	Chondroitin sulfate synthase 1; Mus musculus	Chondroitin N-acetylgalactosaminyltransferase|Nucleotide-diphospho-sugar transferases|Hexosyltransferase|Spore Coat Polysaccharide Biosynthesis Protein SpsA; Chain A|Nucleotide-diphospho-sugar transferases	GO:0008376, GO:0032580, GO:0047238, GO:0008150, GO:0003824, GO:0005575, GO:0008152, GO:0003674, GO:0006950, GO:0009987, GO:0043170, GO:0050896	K13499
LDECv5g00058	Large ribosomal subunit protein uL1m; Mus musculus	Ribosomal protein L1p/L10e family|Ribosomal protein uL1/ribosomal biogenesis protein|Ribosomal protein L1|Ribosomal protein uL1-like|Large ribosomal subunit protein uL1, 3-layer alpha/beta-sandwich domain	GO:0003723, GO:0006396, GO:1901363, GO:0003674, GO:0003676, GO:1990904, GO:0005739, GO:0005488, GO:0005575, GO:0043229, GO:0006364, GO:0003824, GO:0016072, GO:0043226, GO:0015934, GO:0090304, GO:0043231	K02863
LDECv5g00059	Aryl hydrocarbon receptor; Mus spicilegus	PAS fold|PAS domain|PYP-like sensor domain (PAS domain)|PAS domain superfamily|PAS repeat profile.|PAS domain|Aryl hydrocarbon receptor|PAS|PAS domain|pac_2|PAC motif|PAS domain S-box protein|PAS domain|PAS fold|PAS fold 3|pas_2|PAS domain	GO:0006355, GO:0000976, GO:0004879, GO:0005634, GO:0006357, GO:0006805, GO:0009410, GO:0034751, GO:0005515, GO:0065007, GO:0008150, GO:0048518, GO:0050789, GO:0050794, GO:0009987, GO:0005575, GO:0048522, GO:0010604, GO:0009893, GO:0010468, GO:0032501, GO:0010628, GO:0060255, GO:0051252, GO:0032502, GO:0019219, GO:2001141, GO:0005488, GO:0043226, GO:0019222, GO:0043229, GO:0010556	K09093
LDECv5g00060	Cyclic nucleotide-gated channel cone photoreceptor subunit alpha; Gallus gallus	Cyclic nucleotide-binding domain|Helix hairpin bin|cAMP/cGMP binding motif profile.|Cyclic nucleotide-binding domain|CAP_ED|Cyclic nucleotide-binding domain|cAMP-binding domain-like|Cyclic nucleotide-binding domain superfamily|Jelly Rolls|RmlC-like jelly roll fold	GO:0003254, GO:0005249, GO:0035725, GO:0071805, GO:0098855, GO:0005575, GO:0003674, GO:0009058, GO:0036094, GO:0005261, GO:0005216, GO:1901265, GO:0000166, GO:1901363, GO:0016740	NA
LDECv5g00061	Cadherin-99C; Drosophila melanogaster	Cadherins|Dachsous cadherin-related 1b|Cadherin-like|Cadherin-like superfamily|Cadherin_repeat|Cadherins domain profile.|Cadherin-like|Protocadherin 15|Neural-cadherin|Cadherin domain signature.|Cadherin conserved site|Dachsous cadherin-related 1a|Cadherin-99C-like, immunoglobulin-like domain|Cadherin-99C, immunoglobulin-like domain|CA_2|Cadherin-like|Cadherin domain|Cadherin-like|Cadherin signature|Cadherin-like|CaDHerin family|Si:dkey-30k22.7|FAT atypical cadherin 1	GO:0005509, GO:0016020, GO:0007156, GO:0005886, GO:0007155, GO:0048856, GO:0005488, GO:0065007, GO:0008150, GO:0098609, GO:0022607, GO:0016043, GO:0071840, GO:0009987, GO:0005575, GO:0008092, GO:0032502, GO:0003674, GO:0005515, GO:0010646, GO:0050794, GO:0090066, GO:0023051, GO:0050789, GO:0032535, GO:0005576, GO:0043226, GO:0043169, GO:0050848, GO:0007165, GO:0045216, GO:0042113, GO:0045296, GO:0048646, GO:0040012, GO:0050839, GO:0030506, GO:0034330, GO:0046872, GO:0032879, GO:0005198, GO:0048869, GO:0032501, GO:0042802, GO:0048598	K16500
LDECv5g00062	Large ribosomal subunit protein eL8; Drosophila melanogaster	L30e-like|Ribosomal protein eL30-like superfamily|Ribosomal protein eL30-like superfamily|60S ribosomal protein L7a|Ribosomal protein L7Ae signature.|Large ribosomal subunit protein eL8-like, conserved site|Ribosomal protein L7A/RS6 family signature|Ribosomal protein eL8/Nhp2 family|Ribosomal protein L7A family signature|Large ribosomal subunit protein eL8, eukaryota|Ribosomal protein L7Ae/L30e/S12e/Gadd45 family|Ribosomal protein eL8/eL30/eS12/Gadd45	GO:0003723, GO:0042254, GO:1990904, GO:0016070, GO:0006396, GO:0008150, GO:0009987, GO:0005575, GO:0043170, GO:0000470, GO:0008152, GO:0043228, GO:0090304, GO:0006139, GO:0044238, GO:0032991, GO:0016072, GO:0006364, GO:0022625, GO:0043232, GO:0003674, GO:0043043, GO:0044391, GO:0005840, GO:0006412, GO:0006518, GO:0015934, GO:0043226, GO:0019538, GO:0009059, GO:0043229, GO:0003676	K02936
LDECv5g00063	39 kDa FK506-binding nuclear protein; Drosophila melanogaster	FK506-bp_FPR3|Peptidyl-prolyl cis-trans isomerase Fpr3/Fpr4-like|FKBP-type peptidyl-prolyl cis-trans isomerase|FKBP-type peptidyl-prolyl cis-trans isomerase domain|Peptidyl-prolyl cis-trans isomerase domain superfamily|Nucleoplasmin core domain|Nucleoplasmin-like domain|FKBP-type peptidyl-prolyl cis-trans isomerase domain profile.|FKBP-type peptidyl-prolyl cis-trans isomerase domain|FKBP-like|Peptidyl-prolyl cis-trans isomerase	GO:0003755, GO:0000785, GO:0005730, GO:0008150, GO:0003824, GO:0140096, GO:0009987, GO:0005575, GO:0016859, GO:0043229, GO:0043227, GO:0003674, GO:0005634, GO:0043226, GO:0048518, GO:0050789, GO:0050794, GO:0016043, GO:0071840, GO:0034728, GO:0043231, GO:0003676, GO:0071824, GO:0006325, GO:0003677, GO:0045893, GO:0016853	K14826
LDECv5g00064	Tropomyosin-2; Bombyx mori	Tropomyosin|Tropomyosin alpha-1 chain isoform 1|Tropomyosin signature|Tropomyosin|Tropomyosin alpha-1 chain|Tropomyosin alpha-1 chain isoform 2	NA	K10373
LDECv5g00065	Protein Aster-B; Homo sapiens	PH-like domain superfamily|GRAM domain|gram2001c|GRAM domain|PH-GRAM_GRAMDC	GO:0005789, GO:0005886, GO:0032366, GO:0032934, GO:0120015, GO:0140268, GO:0005575, GO:0008150, GO:0065007	NA
LDECv5g00066	Probable phospholipid-transporting ATPase IM; Homo sapiens	Haloacid Dehalogenase|Phospholipid-transporting ATPase IC|HAD-IC family P-type ATPase|P-type ATPase|P-type cation-transporting ATPase superfamily signature|P-type_ATPase_APLT_Dnf-like|P-type ATPase, cytoplasmic domain N|Phospholipid-transporting ATPase|p-type atpase|P-type ATPase, haloacid dehalogenase domain|HAD-like|HAD-like superfamily|Phospholipid-translocating P-type ATPase C-terminal|P-type ATPase, C-terminal|Calcium ATPase, transduction domain A|P-type ATPase, A domain superfamily|Phospholipid-translocating ATPase N-terminal|P-type ATPase, N-terminal|C1.7: P-type atpase like|phospholipid-translocating P-type ATPase|P-type ATPase, subfamily IV|Metal cation-transporting ATPase, ATP-binding domain N|P-type ATPase, cytoplasmic domain N|Calcium ATPase, transmembrane domain M|P-type ATPase, transmembrane domain superfamily|HAD superfamily|E1-E2 ATPases phosphorylation site.|P-type ATPase, phosphorylation site	GO:0005802, GO:0005886, GO:0007030, GO:0045332, GO:0140326, GO:0005215, GO:0005524, GO:0016020, GO:0016887, GO:0000166, GO:0000287, GO:0015914, GO:0030554, GO:0032559, GO:0043168, GO:0006820, GO:0005488, GO:0065007, GO:0008150, GO:0097367, GO:0043169, GO:0016043, GO:0071840, GO:0009987, GO:0005575, GO:0051234, GO:1901363, GO:0140303, GO:0043167, GO:0006811, GO:0034204, GO:0006869, GO:0005319, GO:0051179, GO:0061024, GO:0043227, GO:0046872, GO:0003674, GO:1901265, GO:0031090, GO:0015711, GO:0015748, GO:0017076, GO:0035639, GO:0032555, GO:0050789, GO:0065008, GO:0097035, GO:0050896, GO:0032553, GO:0036094, GO:0006810, GO:0042221, GO:0005783, GO:0043226, GO:0031984, GO:0005768, GO:0005789, GO:0055085, GO:0005794, GO:0043229, GO:0098791, GO:0032879	K01530
LDECv5g00067	Syntaxin-18; Mus musculus	Syntaxin-18, putative|SNARE-complex protein Syntaxin-18 N-terminus|SNARE-complex protein Syntaxin-18, N-terminal|SNARE fusion complex	GO:0005783, GO:0006890, GO:0031201, GO:0005484, GO:0008150, GO:0051641, GO:0005575, GO:0051234, GO:0051649, GO:0045184, GO:0043231, GO:0043229, GO:0006886, GO:0046907, GO:0051179, GO:0033036, GO:0016020, GO:0043227, GO:0071705, GO:0043226, GO:0015833, GO:0008104, GO:0015031, GO:0006810, GO:0051640, GO:0016192, GO:0006906, GO:0022406, GO:0140056, GO:0090174, GO:0048278, GO:0048193, GO:0031982, GO:0016050	K08492
LDECv5g00068	Glutamate dehydrogenase, mitochondrial; Drosophila melanogaster	Glutamate/leucine/phenylalanine/valine dehydrogenase signature|Glutamate/phenylalanine/leucine/valine/L-tryptophan dehydrogenase|Glutamate dehydrogenase 1, mitochondrial|ELFV_dehydrog_3|Glutamate/phenylalanine/leucine/valine/L-tryptophan dehydrogenase, C-terminal|Glutamate/Leucine/Phenylalanine/Valine dehydrogenase|Glutamate/phenylalanine/leucine/valine/L-tryptophan dehydrogenase, C-terminal|NAD_bind_1_Glu_DH|NAD(P) binding domain of glutamate dehydrogenase|Leucine Dehydrogenase, chain A, domain 1|Aminoacid dehydrogenase-like, N-terminal domain|Aminoacid dehydrogenase-like, N-terminal domain superfamily|Glu/Leu/Phe/Val dehydrogenase, dimerisation domain|Glutamate/phenylalanine/leucine/valine/L-tryptophan dehydrogenase, dimerisation domain|NAD(P)-binding Rossmann-fold domains|NAD(P)-binding domain superfamily	GO:0006520, GO:0016491, GO:0016639, GO:0004352, GO:0005739, GO:0006538, GO:0005488, GO:0008150, GO:0019752, GO:0003824, GO:0009987, GO:0005575, GO:0004353, GO:0043167, GO:0008152, GO:0003674, GO:0006082, GO:0043436, GO:1901363, GO:0036094, GO:0044281, GO:0016638, GO:1901265, GO:0000166, GO:0043648, GO:0043226, GO:0044238, GO:0043231, GO:0043169, GO:0043168, GO:0043227	K00261
LDECv5g00069	Glutamate dehydrogenase, mitochondrial; Drosophila melanogaster	ELFV_dehydrog_3|Glutamate/phenylalanine/leucine/valine/L-tryptophan dehydrogenase, C-terminal|Leucine Dehydrogenase, chain A, domain 1|Glu/Leu/Phe/Val dehydrogenase, dimerisation domain|Glutamate/phenylalanine/leucine/valine/L-tryptophan dehydrogenase, dimerisation domain|Glutamate/Leucine/Phenylalanine/Valine dehydrogenase|Glutamate/phenylalanine/leucine/valine/L-tryptophan dehydrogenase, C-terminal|Glu_DH|Glutamate dehydrogenase|NAD(P)-binding Rossmann-fold domains|NAD(P)-binding domain superfamily|Aminoacid dehydrogenase-like, N-terminal domain|Aminoacid dehydrogenase-like, N-terminal domain superfamily|Glutamate/leucine/phenylalanine/valine dehydrogenase signature|Glutamate/phenylalanine/leucine/valine/L-tryptophan dehydrogenase	GO:0006520, GO:0016491, GO:0004352, GO:0005739, GO:0006538, GO:0016639, GO:0005488, GO:0008150, GO:0003824, GO:0009987, GO:0005575, GO:0043167, GO:0008152, GO:0003674, GO:0043169, GO:1901363, GO:0032787, GO:0036094, GO:0046872, GO:0019752	K00261
